document_id,source_id,document_type,split,is_augmented,augmentation_type,image_path,annotation_path,image_width,image_height,watermark_tag,created_date
SYN-BIS-000003,SYN-BIS-000003,bis,train,False,,synthetic_doc_dataset\raw\bis\images\SYN-BIS-000003.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000003.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:58.419852+00:00
SYN-BIS-000003_blur,SYN-BIS-000003,bis,train,True,blur,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000003_blur.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000003.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:58.495565+00:00
SYN-BIS-000003_rotate,SYN-BIS-000003,bis,train,True,rotate,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000003_rotate.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000003.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:58.545061+00:00
SYN-BIS-000003_low_contrast,SYN-BIS-000003,bis,train,True,low_contrast,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000003_low_contrast.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000003.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:58.593071+00:00
SYN-BIS-000003_low_resolution,SYN-BIS-000003,bis,train,True,low_resolution,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000003_low_resolution.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000003.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:58.643610+00:00
SYN-BIS-000004,SYN-BIS-000004,bis,train,False,,synthetic_doc_dataset\raw\bis\images\SYN-BIS-000004.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000004.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:58.813579+00:00
SYN-BIS-000004_blur,SYN-BIS-000004,bis,train,True,blur,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000004_blur.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000004.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:58.899531+00:00
SYN-BIS-000004_rotate,SYN-BIS-000004,bis,train,True,rotate,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000004_rotate.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000004.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:58.937146+00:00
SYN-BIS-000004_low_contrast,SYN-BIS-000004,bis,train,True,low_contrast,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000004_low_contrast.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000004.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:58.984496+00:00
SYN-BIS-000004_low_resolution,SYN-BIS-000004,bis,train,True,low_resolution,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000004_low_resolution.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000004.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:59.037519+00:00
SYN-BIS-000005,SYN-BIS-000005,bis,train,False,,synthetic_doc_dataset\raw\bis\images\SYN-BIS-000005.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000005.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:59.241915+00:00
SYN-BIS-000005_blur,SYN-BIS-000005,bis,train,True,blur,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000005_blur.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000005.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:59.315908+00:00
SYN-BIS-000005_rotate,SYN-BIS-000005,bis,train,True,rotate,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000005_rotate.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000005.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:59.355075+00:00
SYN-BIS-000005_low_contrast,SYN-BIS-000005,bis,train,True,low_contrast,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000005_low_contrast.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000005.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:59.402977+00:00
SYN-BIS-000005_low_resolution,SYN-BIS-000005,bis,train,True,low_resolution,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000005_low_resolution.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000005.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:59.452238+00:00
SYN-BIS-000006,SYN-BIS-000006,bis,train,False,,synthetic_doc_dataset\raw\bis\images\SYN-BIS-000006.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000006.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:59.603852+00:00
SYN-BIS-000006_blur,SYN-BIS-000006,bis,train,True,blur,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000006_blur.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000006.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:59.686223+00:00
SYN-BIS-000006_rotate,SYN-BIS-000006,bis,train,True,rotate,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000006_rotate.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000006.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:59.722473+00:00
SYN-BIS-000006_low_contrast,SYN-BIS-000006,bis,train,True,low_contrast,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000006_low_contrast.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000006.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:59.763182+00:00
SYN-BIS-000006_low_resolution,SYN-BIS-000006,bis,train,True,low_resolution,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000006_low_resolution.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000006.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:59.811613+00:00
SYN-BIS-000007,SYN-BIS-000007,bis,train,False,,synthetic_doc_dataset\raw\bis\images\SYN-BIS-000007.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000007.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:34:59.961109+00:00
SYN-BIS-000007_blur,SYN-BIS-000007,bis,train,True,blur,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000007_blur.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000007.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:00.035660+00:00
SYN-BIS-000007_rotate,SYN-BIS-000007,bis,train,True,rotate,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000007_rotate.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000007.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:00.075224+00:00
SYN-BIS-000007_low_contrast,SYN-BIS-000007,bis,train,True,low_contrast,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000007_low_contrast.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000007.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:00.116662+00:00
SYN-BIS-000007_low_resolution,SYN-BIS-000007,bis,train,True,low_resolution,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000007_low_resolution.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000007.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:00.172000+00:00
SYN-BIS-000008,SYN-BIS-000008,bis,train,False,,synthetic_doc_dataset\raw\bis\images\SYN-BIS-000008.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000008.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:00.321837+00:00
SYN-BIS-000008_blur,SYN-BIS-000008,bis,train,True,blur,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000008_blur.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000008.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:00.404565+00:00
SYN-BIS-000008_rotate,SYN-BIS-000008,bis,train,True,rotate,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000008_rotate.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000008.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:00.441579+00:00
SYN-BIS-000008_low_contrast,SYN-BIS-000008,bis,train,True,low_contrast,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000008_low_contrast.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000008.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:00.481805+00:00
SYN-BIS-000008_low_resolution,SYN-BIS-000008,bis,train,True,low_resolution,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000008_low_resolution.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000008.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:00.539712+00:00
SYN-BIS-000009,SYN-BIS-000009,bis,train,False,,synthetic_doc_dataset\raw\bis\images\SYN-BIS-000009.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000009.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:00.696989+00:00
SYN-BIS-000009_blur,SYN-BIS-000009,bis,train,True,blur,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000009_blur.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000009.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:00.768881+00:00
SYN-BIS-000009_rotate,SYN-BIS-000009,bis,train,True,rotate,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000009_rotate.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000009.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:00.811095+00:00
SYN-BIS-000009_low_contrast,SYN-BIS-000009,bis,train,True,low_contrast,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000009_low_contrast.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000009.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:00.856710+00:00
SYN-BIS-000009_low_resolution,SYN-BIS-000009,bis,train,True,low_resolution,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000009_low_resolution.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000009.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:00.906096+00:00
SYN-BIS-000010,SYN-BIS-000010,bis,train,False,,synthetic_doc_dataset\raw\bis\images\SYN-BIS-000010.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000010.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:01.054087+00:00
SYN-BIS-000010_blur,SYN-BIS-000010,bis,train,True,blur,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000010_blur.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000010.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:01.130483+00:00
SYN-BIS-000010_rotate,SYN-BIS-000010,bis,train,True,rotate,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000010_rotate.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000010.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:01.174963+00:00
SYN-BIS-000010_low_contrast,SYN-BIS-000010,bis,train,True,low_contrast,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000010_low_contrast.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000010.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:01.220009+00:00
SYN-BIS-000010_low_resolution,SYN-BIS-000010,bis,train,True,low_resolution,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000010_low_resolution.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000010.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:01.281401+00:00
SYN-BIS-000011,SYN-BIS-000011,bis,val,False,,synthetic_doc_dataset\raw\bis\images\SYN-BIS-000011.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000011.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:01.433865+00:00
SYN-BIS-000011_blur,SYN-BIS-000011,bis,val,True,blur,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000011_blur.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000011.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:01.506544+00:00
SYN-BIS-000011_rotate,SYN-BIS-000011,bis,val,True,rotate,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000011_rotate.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000011.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:01.543980+00:00
SYN-BIS-000011_low_contrast,SYN-BIS-000011,bis,val,True,low_contrast,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000011_low_contrast.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000011.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:01.592069+00:00
SYN-BIS-000011_low_resolution,SYN-BIS-000011,bis,val,True,low_resolution,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000011_low_resolution.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000011.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:01.640761+00:00
SYN-BIS-000012,SYN-BIS-000012,bis,val,False,,synthetic_doc_dataset\raw\bis\images\SYN-BIS-000012.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000012.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:01.796987+00:00
SYN-BIS-000012_blur,SYN-BIS-000012,bis,val,True,blur,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000012_blur.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000012.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:01.872384+00:00
SYN-BIS-000012_rotate,SYN-BIS-000012,bis,val,True,rotate,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000012_rotate.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000012.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:01.913576+00:00
SYN-BIS-000012_low_contrast,SYN-BIS-000012,bis,val,True,low_contrast,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000012_low_contrast.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000012.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:01.956860+00:00
SYN-BIS-000012_low_resolution,SYN-BIS-000012,bis,val,True,low_resolution,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000012_low_resolution.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000012.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:02.006166+00:00
SYN-BIS-000013,SYN-BIS-000013,bis,test,False,,synthetic_doc_dataset\raw\bis\images\SYN-BIS-000013.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000013.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:02.224779+00:00
SYN-BIS-000013_blur,SYN-BIS-000013,bis,test,True,blur,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000013_blur.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000013.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:02.342851+00:00
SYN-BIS-000013_rotate,SYN-BIS-000013,bis,test,True,rotate,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000013_rotate.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000013.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:02.395565+00:00
SYN-BIS-000013_low_contrast,SYN-BIS-000013,bis,test,True,low_contrast,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000013_low_contrast.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000013.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:02.456202+00:00
SYN-BIS-000013_low_resolution,SYN-BIS-000013,bis,test,True,low_resolution,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000013_low_resolution.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000013.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:02.540025+00:00
SYN-BIS-000014,SYN-BIS-000014,bis,test,False,,synthetic_doc_dataset\raw\bis\images\SYN-BIS-000014.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000014.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:02.725734+00:00
SYN-BIS-000014_blur,SYN-BIS-000014,bis,test,True,blur,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000014_blur.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000014.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:02.811788+00:00
SYN-BIS-000014_rotate,SYN-BIS-000014,bis,test,True,rotate,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000014_rotate.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000014.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:02.857789+00:00
SYN-BIS-000014_low_contrast,SYN-BIS-000014,bis,test,True,low_contrast,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000014_low_contrast.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000014.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:02.916504+00:00
SYN-BIS-000014_low_resolution,SYN-BIS-000014,bis,test,True,low_resolution,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000014_low_resolution.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000014.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:02.976893+00:00
SYN-BIS-000015,SYN-BIS-000015,bis,test,False,,synthetic_doc_dataset\raw\bis\images\SYN-BIS-000015.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000015.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:03.140263+00:00
SYN-BIS-000015_blur,SYN-BIS-000015,bis,test,True,blur,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000015_blur.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000015.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:03.224012+00:00
SYN-BIS-000015_rotate,SYN-BIS-000015,bis,test,True,rotate,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000015_rotate.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000015.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:03.265712+00:00
SYN-BIS-000015_low_contrast,SYN-BIS-000015,bis,test,True,low_contrast,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000015_low_contrast.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000015.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:03.317376+00:00
SYN-BIS-000015_low_resolution,SYN-BIS-000015,bis,test,True,low_resolution,synthetic_doc_dataset\augmented\bis\images\SYN-BIS-000015_low_resolution.png,synthetic_doc_dataset\annotations\bis\SYN-BIS-000015.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:03.378792+00:00
SYN-PAN-000001,SYN-PAN-000001,pan,train,False,,synthetic_doc_dataset\raw\pan\images\SYN-PAN-000001.png,synthetic_doc_dataset\annotations\pan\SYN-PAN-000001.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:03.553431+00:00
SYN-PAN-000001_blur,SYN-PAN-000001,pan,train,True,blur,synthetic_doc_dataset\augmented\pan\images\SYN-PAN-000001_blur.png,synthetic_doc_dataset\annotations\pan\SYN-PAN-000001.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:03.627103+00:00
SYN-PAN-000001_rotate,SYN-PAN-000001,pan,train,True,rotate,synthetic_doc_dataset\augmented\pan\images\SYN-PAN-000001_rotate.png,synthetic_doc_dataset\annotations\pan\SYN-PAN-000001.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:03.661759+00:00
SYN-PAN-000001_low_contrast,SYN-PAN-000001,pan,train,True,low_contrast,synthetic_doc_dataset\augmented\pan\images\SYN-PAN-000001_low_contrast.png,synthetic_doc_dataset\annotations\pan\SYN-PAN-000001.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:03.709617+00:00
SYN-PAN-000001_low_resolution,SYN-PAN-000001,pan,train,True,low_resolution,synthetic_doc_dataset\augmented\pan\images\SYN-PAN-000001_low_resolution.png,synthetic_doc_dataset\annotations\pan\SYN-PAN-000001.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:03.774177+00:00
SYN-PAN-000002,SYN-PAN-000002,pan,train,False,,synthetic_doc_dataset\raw\pan\images\SYN-PAN-000002.png,synthetic_doc_dataset\annotations\pan\SYN-PAN-000002.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:03.940920+00:00
SYN-PAN-000002_blur,SYN-PAN-000002,pan,train,True,blur,synthetic_doc_dataset\augmented\pan\images\SYN-PAN-000002_blur.png,synthetic_doc_dataset\annotations\pan\SYN-PAN-000002.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:04.017637+00:00
SYN-PAN-000002_rotate,SYN-PAN-000002,pan,train,True,rotate,synthetic_doc_dataset\augmented\pan\images\SYN-PAN-000002_rotate.png,synthetic_doc_dataset\annotations\pan\SYN-PAN-000002.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:04.052963+00:00
SYN-PAN-000002_low_contrast,SYN-PAN-000002,pan,train,True,low_contrast,synthetic_doc_dataset\augmented\pan\images\SYN-PAN-000002_low_contrast.png,synthetic_doc_dataset\annotations\pan\SYN-PAN-000002.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:04.100300+00:00
SYN-PAN-000002_low_resolution,SYN-PAN-000002,pan,train,True,low_resolution,synthetic_doc_dataset\augmented\pan\images\SYN-PAN-000002_low_resolution.png,synthetic_doc_dataset\annotations\pan\SYN-PAN-000002.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:04.151124+00:00
SYN-PAN-000003,SYN-PAN-000003,pan,train,False,,synthetic_doc_dataset\raw\pan\images\SYN-PAN-000003.png,synthetic_doc_dataset\annotations\pan\SYN-PAN-000003.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:04.346487+00:00
SYN-PAN-000003_blur,SYN-PAN-000003,pan,train,True,blur,synthetic_doc_dataset\augmented\pan\images\SYN-PAN-000003_blur.png,synthetic_doc_dataset\annotations\pan\SYN-PAN-000003.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:04.458229+00:00
SYN-PAN-000003_rotate,SYN-PAN-000003,pan,train,True,rotate,synthetic_doc_dataset\augmented\pan\images\SYN-PAN-000003_rotate.png,synthetic_doc_dataset\annotations\pan\SYN-PAN-000003.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:04.488935+00:00
SYN-PAN-000003_low_contrast,SYN-PAN-000003,pan,train,True,low_contrast,synthetic_doc_dataset\augmented\pan\images\SYN-PAN-000003_low_contrast.png,synthetic_doc_dataset\annotations\pan\SYN-PAN-000003.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:04.528687+00:00
SYN-PAN-000003_low_resolution,SYN-PAN-000003,pan,train,True,low_resolution,synthetic_doc_dataset\augmented\pan\images\SYN-PAN-000003_low_resolution.png,synthetic_doc_dataset\annotations\pan\SYN-PAN-000003.json,1240,1754,SYNTHETIC / DEMO / NOT VALID,2026-09-05T07:35:04.575977+00:00
